COMPANY,PKS_CODE,INSTRUMENT_SERIAL_NUMBER,OIL_WM,VM,OIL_DM,NOS,FFA,DOBI,RILL_MUTU_KADAR_AIR,INC_MUTU_KADAR_AIR
N006,FP05,,41.68,7.43,45.03,50.89,0,0,7.43,red
N006,FP06,,49.85,6.66,53.4,43.49,0,0,6.66,green
N006,FP06,,50.75,6.22,54.11,43.03,0,0,6.22,green
N006,FP06,,50.75,6.22,54.11,43.03,0,0,6.22,green
N00D,DP11,91861445,32.79,8.71,35.92,58.51,0,0,8.71,red
N006,FP04,,34.92,1.6,35.49,63.48,0,0,1.6,green
N006,FP04,,37.41,8,40.66,54.59,0,0,8,red
N006,FP03,,49.08,5.7,52.05,45.22,0,0,5.7,green
N006,FP05,,45.49,3.46,47.13,51.04,0,0,3.46,green
N006,FP04,,39.03,8.44,42.63,52.53,3.25,0,8.44,red
N006,FP04,,46.4,2,47.35,51.6,0,0,2,green
N006,FP04,,46.07,2.94,47.47,50.98,0,0,2.94,green
N006,FP04,,44.5,2.21,45.51,53.29,0,0,2.21,green
N00D,DP03,,34.61,6.96,37.2,58.43,0.47,0,6.96,green
N006,FP06,,47.13,4.31,49.25,48.56,0,0,4.31,green
N006,FP06,,47.09,4.84,49.49,48.07,0,0,4.84,green
N006,FP06,,47.09,4.84,49.49,48.07,0,0,4.84,green
N006,FP06,,53.05,2.26,54.28,44.68,0,0,2.26,green
N006,FP06,,32.66,11.09,36.74,56.25,6.37,0,11.09,red
N006,FP04,,37.88,5.81,40.22,56.3,1.21,0,5.81,green
N006,FP04,,37.91,7.38,40.94,54.71,5.82,0,7.38,red
N006,FP04,,40.38,0,40.38,59.62,0,0,0,green
N00D,DP03,,35.98,07.05,38.71,56.97,01.02,0,07.05,red
N006,FP03,,51.8,6.18,55.22,42.02,0,0,6.18,green
N006,FP04,,40.01,5.63,42.4,54.36,0,0,5.63,green
N006,FP04,,44.03,4.55,46.12,51.43,1.35,0,4.55,green
[NULL],7F06,,45.64,4.63,47.86,49.73,2.4,0,4.63,orange
N00D,DP02,,41.66,4.58,43.66,53.76,0,0,4.58,green
N014,NP01,91872189,41.57,10.44,46.42,47.98,0,0,10.44,red
N014,NP01,91872189,39.88,11.56,45.1,48.56,0,0,11.56,red
N014,NP01,91872189,49.18,6.46,52.57,44.36,0,0,6.46,green
N00D,DP14,91870381,45.97,5.58,48.69,48.45,0,0,5.58,green
N00D,DP03,,34.8,5.93,36.99,59.27,0,0,5.93,green
N006,FP04,,43.28,4.48,45.31,52.24,0.3,0,4.48,green
N006,FP04,,41.72,6.6,44.66,51.69,5.54,0,6.6,green
N003,CP09,,43.68,7.81,47.38,48.51,0,0,7.81,red
N003,CP09,,38.94,11.37,43.93,49.69,1.96,0,11.37,red
